,bert_umap_0,bert_umap_1,bert_umap_2,bert_umap_3,bert_umap_4,summary_umap_0,summary_umap_1,summary_umap_2,summary_umap_3,summary_umap_4
0,-0.452456,6.5755415,8.509775,6.363203,5.947983,10.470216,5.453437,3.7167401,4.667178,3.4430656
1,-0.29607633,6.5561557,8.570475,6.195257,5.928114,9.081153,7.1557183,2.7516131,5.677122,3.1717784
2,-0.4906853,6.576662,8.49234,6.3983774,5.9543967,6.948653,7.5674453,1.8394766,4.9826603,5.1318483
3,-0.53814614,6.583705,8.467958,6.442251,5.959603,7.475404,8.690891,2.716483,4.352436,5.604291
4,-0.30142716,6.555488,8.577499,6.209911,5.930054,9.050423,5.6822667,3.7052798,5.639893,2.9855812
5,-0.29911715,6.5531225,8.581925,6.2105975,5.930499,8.627091,6.7388535,2.9831986,5.804972,3.3697915
6,-0.4700347,6.578167,8.499803,6.3780904,5.949674,7.147993,8.653821,2.3322406,5.0584774,5.2581573
7,-1.3173404,7.158805,5.5577826,2.771705,5.1657457,6.5614223,7.2373295,4.143418,5.046602,3.0348387
8,-0.4401253,6.5752683,8.512975,6.3487477,5.946266,7.589681,7.2022433,2.1098783,5.0424166,3.2596467
9,-0.79952717,6.6362634,8.300632,6.6581583,5.978436,9.064316,6.5237603,3.0286562,5.688566,3.3088624
10,-1.2334313,7.8446455,5.4437213,3.3136418,6.5586247,6.787791,7.2826686,4.6115026,4.1197963,3.9260774
11,4.3756304,6.5718746,10.616251,3.805989,4.6891837,6.5111103,6.677273,4.2017565,4.7167387,2.4080875
12,-1.0990523,6.9125366,5.973266,2.4355044,5.158952,7.723952,7.2256002,2.854128,3.9577885,3.09959
13,-0.4350621,6.0325265,7.5905952,4.707643,5.7170606,7.215116,7.2641,4.9173913,3.725425,3.763127
14,-1.3993441,7.5978184,4.9195995,4.1918607,6.2771735,7.562515,6.544019,4.2638006,3.5383873,4.08195
15,0.72628415,4.605687,8.670813,3.772458,6.385413,10.905415,6.588099,3.5034225,3.3895695,3.2844055
16,0.41990936,7.686049,4.343474,3.6765375,4.859426,7.3764114,7.08724,3.9308827,4.8835163,2.7950184
17,-1.4208628,7.153993,5.7347674,2.3436575,4.9170256,6.189169,7.4864283,3.8537874,4.4472346,3.2371728
18,-1.7014214,7.655921,5.037468,3.3567708,6.0102696,6.493534,6.8563795,4.592719,3.7189913,3.8983452
19,5.192121,5.9741898,11.845273,3.3013477,4.3649216,8.372408,5.3407044,2.3032358,4.147982,7.075838
20,0.29012156,6.0614233,2.917959,3.8126085,4.190278,7.771244,7.083918,1.9957542,4.4489937,4.78354
21,3.0935113,7.8390036,9.21036,1.9849284,3.692575,8.472062,6.2752914,3.815507,4.9911003,2.9091837
22,5.5227423,6.3425307,11.217627,3.0657325,4.421868,11.290288,5.4602118,2.6106079,1.2911597,7.941192
23,-2.1296206,7.63272,4.982149,2.5208788,4.963683,7.5303073,7.1279416,4.3233037,3.8393795,3.81108
24,-1.4082639,7.170569,5.729698,2.3481894,4.9296703,6.302277,6.9488893,4.448166,4.981466,3.0983396
25,-2.0026095,9.1067505,4.4005156,2.8960416,5.097659,7.5081267,6.748127,3.7884588,5.0222487,2.3435206
26,-0.02501963,6.267853,7.661044,3.375863,5.4301057,8.642502,6.218158,3.9772124,4.9310594,1.687823
27,5.190211,5.9745083,11.835183,3.3061905,4.3678913,7.8692703,6.074054,1.944954,4.013025,7.2476482
28,-1.3380524,7.1015162,5.4058695,3.8962498,6.1590915,11.102449,6.5806885,2.9691572,3.7985995,2.890326
29,12.788955,10.200863,3.4026153,6.0589056,5.694192,7.815201,7.522845,4.1900263,4.196506,2.6427698
30,-2.2268312,8.016817,4.8401,2.431089,4.5224414,6.676094,6.7956405,3.413558,4.4897375,3.6528134
31,1.1184088,6.831643,9.2868805,5.0279026,5.669393,7.110402,5.756152,3.8187923,4.271116,2.2062058
32,3.096469,7.4384437,11.508079,5.339412,4.6991267,9.426672,5.7927036,3.7405114,5.3294916,2.729977
